PPID,Day,Reported,Estimated,PropPos
6,5,15,0.311269926,0.5
6,5,50,0.736341854,0.666666667
6,6,28,0.864116367,0.5
6,6,38,0.616485156,0.666666667
6,6,-20,0.232936993,0
6,6,33,0.173081188,0
6,6,11,0.933032774,1
6,6,17,0.9784981,1
6,6,35,0.913540788,1
6,6,8,0.279549911,0.5
6,6,30,0.793059142,0.666666667
6,7,31,0.886995596,1
6,7,37,0.920680005,1
6,7,21,0.257869645,0.666666667
6,7,37,0.901305034,1
6,7,37,0.966903189,1
6,7,50,0.964030347,1
6,7,12,0.961025835,1
6,7,37,0.89001566,1
6,7,25,0.421964176,1
6,8,35,0.926447749,0.666666667
6,8,16,0.139031075,0.333333333
6,8,-10,0.20119785,0.333333333
6,8,28,0.398391557,0.333333333
6,8,6,0.868171523,1
6,8,28,0.87763495,1
6,8,18,0.552686316,1
6,8,10,0.879462703,1
6,8,36,0.985331172,1
6,9,38,0.873101288,1
6,9,18,0.916025675,1
6,9,33,0.231907574,0.5
6,9,19,0.780189549,0.5
6,9,-10,0.199834843,0.333333333
6,9,17,0.46977242,0.5
6,9,2,0.187750551,0
6,9,38,0.854347227,1
6,10,9,0.219275768,0.5
6,10,22,0.296936411,0.333333333
6,10,20,0.2015989,0.333333333
6,10,-26,0.102748085,0
6,10,30,0.873101288,1
6,10,37,0.942089292,1
6,10,30,0.883423608,1
6,11,34,0.943883615,1
6,11,30,0.939720009,1
6,11,11,0.752051967,1
6,11,12,0.49468318,0.5
6,11,12,0.433034252,0.5
6,11,8,0.462163493,0.5
6,11,37,0.851648616,1
6,11,41,0.893956105,1
6,11,12,0.118634554,0
6,11,33,0.971192053,0.5
6,11,31,0.934707724,1
6,12,14,0.15682188,0.5
6,12,-10,0.382964318,0.5
6,12,11,0.530089471,0.5
6,12,1,0.23006147,0
6,12,15,0.183311746,0.75
6,12,32,0.884395252,1
6,12,32,0.586148815,0.5
6,12,25,0.91440677,1
6,13,33,0.893956105,1
6,13,21,0.897126333,1
6,13,19,0.769982612,1
6,13,13,0.336667082,0.333333333
6,13,10,0.173081188,0
6,13,35,0.916025675,1
6,13,34,0.893237873,1
6,14,7,0.232958519,0.5
6,14,-13,0.188404793,0
6,14,32,0.883423608,1
6,14,32,0.880443571,1
6,14,26,0.967575563,1
6,14,43,0.9784981,1
6,15,-15,0.177776325,0
6,15,20,0.684039141,1
6,15,36,0.61265189,0.5
6,15,33,0.85681367,1
6,15,40,0.887407332,1
6,15,10,0.721400057,1
6,15,37,0.87763495,1
6,15,36,0.704832607,1
7,1,13,0.877860753,1
7,2,27,0.966903189,1
7,2,25,0.844717825,1
7,2,26,0.966903189,1
7,2,17,0.966903189,1
7,2,36,0.966903189,1
7,2,30,0.966903189,1
7,3,29,0.607413753,1
7,3,24,0.905583279,1
7,3,6,0.50157052,1
7,3,16,0.799201875,1
7,3,19,0.844717825,1
7,3,13,0.844717825,1
7,3,7,0.50157052,1
7,4,34,0.883423608,1
7,4,27,0.966903189,1
7,4,27,0.50157052,1
7,4,31,0.883423608,1
7,4,26,0.226350719,0
7,4,23,0.607413753,1
7,4,15,0.966903189,1
7,4,25,0.966903189,1
7,5,29,0.361057041,0.5
7,5,30,0.867978273,1
7,5,31,0.927403182,1
7,5,24,0.844717825,1
7,5,27,0.484076647,0.666666667
7,5,24,0.462389055,0.666666667
7,5,29,0.607413753,1
7,5,24,0.439544888,0.75
7,5,20,0.838175618,1
7,5,37,0.844717825,1
7,6,14,0.607413753,1
7,6,19,0.927403182,1
7,6,24,0.844717825,1
7,6,28,0.877860753,1
7,6,31,0.226350719,0
7,6,26,0.867519604,1
7,6,24,0.844717825,1
7,7,31,0.916025675,1
7,7,35,0.877860753,1
7,7,27,0.927403182,1
7,7,29,0.607413753,1
7,7,28,0.855408033,1
7,7,32,0.901506793,1
7,7,29,0.916025675,1
7,7,28,0.945623059,1
7,7,20,0.844717825,1
7,8,29,0.410067441,0.5
7,8,27,0.872480178,1
7,8,29,0.922218274,1
7,8,27,0.838175618,1
7,9,29,0.37488289,0
7,9,39,0.394544085,0.5
7,9,20,0.844717825,1
7,9,14,0.838175618,1
